,cibil_score,loan_amount,loan_id,commercial_assets_value,loan_term,bank_asset_value,residential_assets_value,income_annum,no_of_dependents,self_employed
22,236.0,107.0,289.0,22.0,0.0,24.0,60.0,29.0,3.0,0.0
23,500.0,207.0,371.0,108.0,6.0,64.0,3.0,87.0,3.0,1.0
24,551.0,206.0,1691.0,72.0,4.0,99.0,234.0,84.0,4.0,0.0
25,128.0,112.0,1612.0,38.0,9.0,31.0,37.0,27.0,1.0,0.0
26,160.0,283.0,177.0,75.0,5.0,74.0,48.0,76.0,0.0,0.0
27,529.0,32.0,628.0,22.0,4.0,16.0,46.0,14.0,3.0,0.0
28,356.0,71.0,142.0,23.0,8.0,34.0,2.0,26.0,2.0,1.0
29,445.0,67.0,263.0,39.0,9.0,12.0,37.0,20.0,4.0,0.0
30,235.0,47.0,645.0,6.0,1.0,31.0,8.0,19.0,2.0,0.0
31,515.0,74.0,23.0,13.0,7.0,29.0,71.0,34.0,5.0,0.0
32,356.0,111.0,1075.0,24.0,7.0,38.0,91.0,36.0,2.0,1.0
33,417.0,194.0,597.0,129.0,1.0,58.0,78.0,69.0,5.0,1.0
34,346.0,210.0,609.0,116.0,5.0,50.0,66.0,60.0,3.0,0.0
35,173.0,58.0,848.0,8.0,9.0,32.0,60.0,23.0,4.0,1.0
36,263.0,39.0,684.0,39.0,7.0,13.0,18.0,18.0,3.0,1.0
37,96.0,105.0,405.0,76.0,7.0,53.0,60.0,39.0,0.0,0.0
38,344.0,125.0,1922.0,10.0,6.0,72.0,74.0,47.0,3.0,0.0
39,151.0,203.0,1181.0,110.0,2.0,116.0,174.0,94.0,5.0,1.0
40,407.0,208.0,933.0,107.0,5.0,62.0,13.0,76.0,3.0,0.0
41,166.0,212.0,2045.0,98.0,8.0,48.0,138.0,64.0,2.0,0.0
42,544.0,1.0,1523.0,1.0,8.0,2.0,4.0,0.0,1.0,1.0
43,192.0,37.0,1194.0,1.0,7.0,7.0,5.0,9.0,5.0,0.0
44,533.0,76.0,596.0,17.0,8.0,16.0,52.0,20.0,4.0,1.0
45,541.0,202.0,987.0,54.0,3.0,94.0,189.0,64.0,4.0,1.0
46,237.0,348.0,395.0,150.0,7.0,52.0,36.0,95.0,5.0,1.0
47,18.0,161.0,107.0,81.0,4.0,43.0,115.0,45.0,3.0,1.0
48,13.0,130.0,1156.0,79.0,6.0,39.0,60.0,49.0,2.0,1.0
49,348.0,215.0,1790.0,32.0,8.0,32.0,142.0,55.0,1.0,0.0
50,79.0,187.0,1540.0,10.0,0.0,81.0,126.0,53.0,2.0,0.0
51,46.0,200.0,416.0,109.0,7.0,69.0,101.0,62.0,5.0,1.0
52,247.0,79.0,1437.0,38.0,1.0,17.0,40.0,19.0,0.0,0.0
53,69.0,172.0,90.0,68.0,0.0,35.0,118.0,46.0,0.0,1.0
54,505.0,251.0,1665.0,81.0,6.0,39.0,104.0,65.0,5.0,1.0
55,14.0,80.0,1709.0,9.0,8.0,20.0,12.0,20.0,3.0,0.0
56,282.0,285.0,235.0,156.0,7.0,123.0,47.0,88.0,4.0,0.0
57,388.0,175.0,1546.0,43.0,1.0,80.0,68.0,83.0,4.0,0.0
58,21.0,146.0,1418.0,77.0,0.0,65.0,70.0,58.0,4.0,0.0
59,79.0,30.0,887.0,24.0,7.0,11.0,3.0,13.0,4.0,1.0
60,391.0,155.0,1497.0,63.0,1.0,41.0,42.0,42.0,5.0,0.0
61,89.0,152.0,1637.0,81.0,3.0,67.0,68.0,49.0,4.0,0.0
62,419.0,223.0,1109.0,160.0,6.0,119.0,4.0,84.0,4.0,0.0
63,328.0,197.0,1912.0,43.0,5.0,86.0,109.0,58.0,1.0,0.0
64,360.0,10.0,930.0,5.0,2.0,7.0,11.0,3.0,1.0,0.0
65,520.0,83.0,1810.0,40.0,3.0,13.0,26.0,23.0,2.0,0.0
66,466.0,8.0,62.0,2.0,3.0,1.0,9.0,1.0,0.0,0.0
67,314.0,258.0,1929.0,105.0,7.0,107.0,118.0,91.0,4.0,0.0
68,531.0,53.0,1844.0,28.0,2.0,12.0,7.0,14.0,1.0,0.0
69,336.0,25.0,1362.0,14.0,7.0,6.0,10.0,6.0,4.0,1.0
70,289.0,143.0,1634.0,60.0,9.0,68.0,83.0,45.0,2.0,0.0
71,545.0,173.0,308.0,75.0,2.0,56.0,137.0,47.0,2.0,0.0
72,187.0,152.0,260.0,20.0,8.0,94.0,22.0,65.0,3.0,0.0
73,133.0,216.0,2059.0,100.0,2.0,41.0,71.0,62.0,4.0,1.0
74,364.0,308.0,1395.0,16.0,2.0,61.0,11.0,81.0,3.0,1.0
75,247.0,26.0,496.0,10.0,1.0,16.0,29.0,9.0,4.0,1.0
76,512.0,273.0,748.0,87.0,7.0,107.0,116.0,80.0,2.0,1.0
77,352.0,53.0,17.0,42.0,1.0,25.0,46.0,22.0,4.0,1.0
78,373.0,3.0,2066.0,2.0,5.0,0.0,5.0,0.0,0.0,0.0
79,119.0,54.0,1525.0,0.0,0.0,23.0,49.0,16.0,3.0,0.0
80,441.0,5.0,908.0,3.0,4.0,4.0,7.0,1.0,2.0,1.0
81,152.0,142.0,372.0,78.0,4.0,46.0,70.0,54.0,5.0,1.0
82,176.0,260.0,1674.0,128.0,5.0,99.0,144.0,68.0,3.0,1.0
83,307.0,87.0,1458.0,0.0,9.0,34.0,69.0,24.0,0.0,1.0
84,106.0,84.0,785.0,55.0,2.0,22.0,38.0,27.0,4.0,0.0
85,103.0,236.0,1065.0,124.0,2.0,43.0,148.0,62.0,5.0,1.0
86,397.0,129.0,871.0,89.0,6.0,42.0,173.0,60.0,3.0,0.0
87,134.0,244.0,1980.0,158.0,6.0,107.0,49.0,90.0,0.0,0.0
88,31.0,99.0,438.0,64.0,5.0,34.0,77.0,33.0,4.0,0.0
89,423.0,194.0,1117.0,45.0,0.0,62.0,1.0,49.0,2.0,1.0
90,313.0,251.0,2020.0,35.0,5.0,75.0,93.0,64.0,4.0,0.0
91,225.0,299.0,1136.0,74.0,9.0,129.0,206.0,88.0,4.0,1.0
92,573.0,265.0,1089.0,42.0,1.0,74.0,15.0,68.0,5.0,1.0
93,165.0,344.0,616.0,168.0,9.0,141.0,96.0,97.0,5.0,0.0
94,512.0,86.0,1336.0,34.0,8.0,16.0,5.0,27.0,4.0,1.0
95,360.0,54.0,1685.0,31.0,6.0,27.0,54.0,16.0,3.0,1.0
96,124.0,198.0,1370.0,23.0,7.0,74.0,73.0,94.0,0.0,1.0
97,158.0,106.0,592.0,12.0,5.0,66.0,13.0,44.0,1.0,1.0
98,204.0,172.0,1545.0,35.0,2.0,98.0,92.0,74.0,5.0,0.0
99,99.0,56.0,899.0,0.0,6.0,10.0,45.0,19.0,0.0,0.0
100,358.0,246.0,1734.0,168.0,7.0,105.0,168.0,86.0,3.0,0.0
101,175.0,11.0,705.0,7.0,0.0,2.0,3.0,2.0,2.0,1.0
102,44.0,23.0,1447.0,7.0,1.0,9.0,5.0,7.0,1.0,0.0
103,290.0,249.0,1047.0,36.0,9.0,86.0,132.0,64.0,3.0,1.0
104,246.0,307.0,552.0,35.0,3.0,103.0,69.0,78.0,2.0,1.0
105,509.0,132.0,1154.0,39.0,5.0,41.0,85.0,33.0,1.0,1.0
106,168.0,29.0,1444.0,6.0,8.0,12.0,22.0,10.0,0.0,1.0
107,438.0,92.0,93.0,24.0,7.0,26.0,78.0,34.0,3.0,1.0
108,207.0,30.0,2036.0,13.0,0.0,22.0,5.0,14.0,1.0,0.0
109,155.0,131.0,489.0,41.0,0.0,41.0,35.0,54.0,0.0,0.0
110,446.0,106.0,1651.0,16.0,6.0,30.0,55.0,32.0,3.0,0.0
111,363.0,187.0,1486.0,81.0,9.0,42.0,147.0,61.0,1.0,0.0
112,399.0,138.0,396.0,127.0,0.0,40.0,11.0,63.0,2.0,0.0
113,570.0,124.0,2012.0,58.0,3.0,54.0,36.0,37.0,5.0,1.0
114,568.0,166.0,1096.0,54.0,3.0,37.0,66.0,41.0,0.0,0.0
115,34.0,232.0,559.0,95.0,8.0,78.0,151.0,68.0,4.0,1.0
116,530.0,200.0,1938.0,78.0,6.0,87.0,51.0,58.0,1.0,1.0
117,474.0,106.0,1748.0,33.0,0.0,32.0,77.0,28.0,4.0,1.0
118,445.0,57.0,730.0,21.0,7.0,12.0,30.0,21.0,0.0,1.0
119,191.0,38.0,2043.0,7.0,3.0,13.0,28.0,10.0,2.0,0.0
120,388.0,244.0,261.0,132.0,8.0,122.0,224.0,82.0,1.0,1.0
121,284.0,51.0,441.0,15.0,4.0,29.0,35.0,23.0,4.0,0.0
122,165.0,111.0,321.0,75.0,3.0,48.0,121.0,47.0,4.0,0.0
123,503.0,242.0,34.0,56.0,5.0,62.0,13.0,65.0,5.0,0.0
124,42.0,295.0,886.0,137.0,4.0,111.0,190.0,74.0,3.0,1.0
125,81.0,29.0,650.0,8.0,6.0,20.0,32.0,12.0,0.0,0.0
126,235.0,35.0,1664.0,5.0,7.0,21.0,9.0,17.0,0.0,0.0
127,170.0,186.0,412.0,61.0,2.0,52.0,14.0,68.0,4.0,0.0
128,225.0,35.0,1502.0,14.0,5.0,11.0,33.0,14.0,2.0,1.0
129,106.0,78.0,1148.0,0.0,1.0,24.0,4.0,20.0,5.0,0.0
130,53.0,126.0,1407.0,31.0,7.0,74.0,113.0,52.0,0.0,1.0
131,318.0,227.0,768.0,115.0,4.0,91.0,240.0,93.0,1.0,0.0
132,33.0,125.0,393.0,30.0,9.0,80.0,45.0,56.0,3.0,0.0
133,443.0,201.0,587.0,26.0,2.0,76.0,18.0,49.0,3.0,1.0
134,133.0,75.0,1228.0,0.0,3.0,33.0,59.0,23.0,0.0,0.0
135,20.0,71.0,1204.0,27.0,1.0,22.0,34.0,19.0,3.0,1.0
136,338.0,13.0,66.0,6.0,2.0,7.0,16.0,4.0,0.0,0.0
137,99.0,174.0,1278.0,118.0,1.0,84.0,205.0,77.0,2.0,0.0
138,411.0,238.0,197.0,115.0,8.0,72.0,214.0,74.0,5.0,0.0
139,62.0,51.0,1130.0,5.0,3.0,20.0,46.0,21.0,2.0,1.0
140,509.0,14.0,1422.0,6.0,1.0,4.0,6.0,3.0,3.0,1.0
141,211.0,259.0,1170.0,0.0,1.0,137.0,240.0,95.0,4.0,0.0
142,484.0,123.0,483.0,35.0,8.0,20.0,63.0,30.0,2.0,0.0
143,356.0,197.0,1247.0,47.0,3.0,79.0,39.0,53.0,4.0,1.0
144,457.0,232.0,190.0,121.0,5.0,73.0,65.0,69.0,1.0,0.0
145,61.0,267.0,2032.0,96.0,8.0,126.0,79.0,87.0,4.0,1.0
146,216.0,171.0,1206.0,70.0,0.0,52.0,107.0,45.0,5.0,0.0
147,487.0,38.0,92.0,8.0,8.0,12.0,5.0,17.0,0.0,0.0
148,400.0,53.0,326.0,8.0,2.0,16.0,32.0,14.0,3.0,0.0
149,13.0,136.0,816.0,63.0,5.0,49.0,187.0,62.0,1.0,1.0
150,319.0,155.0,1840.0,27.0,8.0,53.0,70.0,62.0,3.0,1.0
151,578.0,144.0,349.0,63.0,3.0,24.0,115.0,42.0,1.0,1.0
152,200.0,63.0,409.0,19.0,2.0,21.0,24.0,24.0,1.0,0.0
153,77.0,237.0,1106.0,74.0,2.0,75.0,166.0,87.0,1.0,0.0
154,248.0,250.0,1805.0,36.0,5.0,49.0,170.0,65.0,4.0,0.0
155,440.0,326.0,677.0,137.0,6.0,70.0,72.0,85.0,0.0,0.0
156,138.0,205.0,325.0,71.0,2.0,71.0,30.0,69.0,5.0,1.0
157,220.0,85.0,984.0,49.0,6.0,31.0,47.0,37.0,4.0,0.0
158,21.0,22.0,1393.0,12.0,3.0,4.0,20.0,5.0,3.0,1.0
159,369.0,309.0,9.0,164.0,6.0,50.0,109.0,89.0,2.0,1.0
160,471.0,96.0,1747.0,1.0,8.0,26.0,14.0,27.0,1.0,1.0
161,65.0,197.0,760.0,50.0,4.0,60.0,138.0,54.0,2.0,1.0
162,151.0,229.0,65.0,42.0,8.0,75.0,162.0,56.0,4.0,1.0
163,217.0,160.0,1643.0,34.0,2.0,46.0,111.0,50.0,1.0,1.0
164,392.0,337.0,852.0,158.0,1.0,98.0,170.0,90.0,0.0,1.0
165,118.0,353.0,732.0,141.0,3.0,135.0,17.0,94.0,0.0,0.0
166,20.0,181.0,1032.0,36.0,7.0,83.0,178.0,62.0,4.0,1.0
167,36.0,9.0,839.0,5.0,6.0,5.0,6.0,4.0,4.0,0.0
168,136.0,163.0,1116.0,145.0,6.0,103.0,173.0,73.0,0.0,1.0
169,490.0,56.0,936.0,25.0,7.0,10.0,9.0,16.0,1.0,0.0
170,282.0,61.0,1774.0,39.0,7.0,35.0,33.0,23.0,5.0,0.0
171,526.0,143.0,1684.0,121.0,4.0,60.0,154.0,64.0,3.0,0.0
172,59.0,186.0,1097.0,50.0,7.0,55.0,4.0,51.0,1.0,1.0
173,557.0,268.0,96.0,18.0,5.0,114.0,46.0,90.0,4.0,0.0
174,443.0,79.0,1456.0,29.0,2.0,10.0,10.0,19.0,3.0,0.0
175,295.0,185.0,1358.0,7.0,5.0,50.0,34.0,53.0,5.0,1.0
176,240.0,109.0,8.0,47.0,0.0,31.0,82.0,27.0,4.0,1.0
177,237.0,17.0,1763.0,13.0,8.0,4.0,9.0,5.0,3.0,1.0
178,386.0,59.0,1839.0,6.0,7.0,13.0,42.0,18.0,2.0,0.0
179,263.0,146.0,436.0,52.0,5.0,34.0,0.0,39.0,2.0,0.0
180,413.0,91.0,1360.0,0.0,1.0,20.0,3.0,38.0,5.0,0.0
181,135.0,134.0,1735.0,28.0,1.0,44.0,53.0,33.0,3.0,0.0
182,192.0,193.0,727.0,30.0,7.0,53.0,149.0,84.0,1.0,1.0
183,538.0,195.0,985.0,30.0,6.0,31.0,74.0,53.0,3.0,0.0
184,392.0,97.0,971.0,15.0,1.0,45.0,69.0,44.0,3.0,0.0
185,478.0,104.0,1210.0,19.0,2.0,27.0,107.0,37.0,3.0,0.0
186,579.0,220.0,1996.0,133.0,9.0,91.0,217.0,75.0,3.0,1.0
187,180.0,232.0,174.0,27.0,0.0,39.0,74.0,62.0,4.0,1.0
188,286.0,204.0,1099.0,2.0,1.0,89.0,49.0,64.0,1.0,1.0
189,439.0,232.0,827.0,153.0,9.0,40.0,169.0,77.0,0.0,1.0
190,573.0,183.0,1380.0,42.0,0.0,97.0,240.0,90.0,4.0,1.0
191,82.0,163.0,610.0,53.0,8.0,51.0,9.0,42.0,1.0,1.0
192,313.0,268.0,1391.0,60.0,8.0,43.0,61.0,76.0,2.0,1.0
193,32.0,174.0,1468.0,132.0,5.0,98.0,194.0,81.0,5.0,0.0
194,123.0,31.0,330.0,8.0,4.0,14.0,4.0,9.0,2.0,1.0
195,116.0,243.0,1076.0,0.0,7.0,51.0,182.0,91.0,4.0,1.0
196,534.0,79.0,1725.0,20.0,1.0,27.0,75.0,24.0,5.0,0.0
197,52.0,119.0,358.0,56.0,2.0,35.0,74.0,39.0,1.0,0.0
198,183.0,228.0,1009.0,35.0,1.0,109.0,199.0,92.0,2.0,0.0
199,108.0,45.0,1743.0,3.0,2.0,16.0,15.0,12.0,4.0,1.0
200,206.0,160.0,1784.0,34.0,1.0,60.0,17.0,52.0,3.0,1.0
201,311.0,37.0,206.0,13.0,4.0,11.0,25.0,8.0,0.0,1.0
202,332.0,15.0,1923.0,4.0,7.0,9.0,22.0,5.0,1.0,1.0
203,553.0,13.0,369.0,10.0,9.0,2.0,15.0,4.0,4.0,0.0
204,421.0,180.0,182.0,34.0,4.0,84.0,43.0,77.0,3.0,0.0
205,340.0,117.0,1439.0,53.0,0.0,42.0,63.0,36.0,5.0,1.0
206,59.0,293.0,1183.0,58.0,9.0,59.0,139.0,74.0,4.0,0.0
207,497.0,281.0,988.0,144.0,5.0,117.0,122.0,77.0,5.0,0.0
208,438.0,106.0,1871.0,28.0,6.0,41.0,38.0,35.0,1.0,1.0
209,54.0,118.0,1234.0,25.0,5.0,50.0,106.0,38.0,1.0,1.0
210,340.0,200.0,1499.0,67.0,4.0,100.0,194.0,92.0,3.0,0.0
211,404.0,253.0,1888.0,148.0,7.0,57.0,115.0,83.0,2.0,1.0
212,66.0,128.0,1503.0,22.0,0.0,49.0,100.0,58.0,1.0,1.0
213,417.0,257.0,2054.0,95.0,7.0,89.0,44.0,69.0,1.0,0.0
214,8.0,164.0,147.0,88.0,7.0,53.0,59.0,57.0,1.0,1.0
215,198.0,108.0,1555.0,46.0,3.0,18.0,36.0,29.0,0.0,0.0
216,298.0,256.0,1125.0,149.0,0.0,122.0,38.0,84.0,1.0,0.0
217,261.0,301.0,855.0,34.0,0.0,74.0,77.0,77.0,4.0,0.0
218,143.0,276.0,1162.0,33.0,4.0,107.0,218.0,90.0,5.0,1.0
219,552.0,289.0,1661.0,138.0,0.0,53.0,93.0,90.0,0.0,1.0
220,549.0,190.0,1745.0,1.0,2.0,90.0,122.0,66.0,5.0,0.0
221,270.0,255.0,800.0,77.0,8.0,106.0,51.0,75.0,5.0,1.0
222,233.0,57.0,1000.0,14.0,9.0,13.0,12.0,17.0,1.0,0.0
223,556.0,183.0,1452.0,119.0,6.0,75.0,100.0,61.0,2.0,0.0
224,244.0,155.0,1733.0,35.0,3.0,83.0,9.0,77.0,1.0,0.0
225,434.0,279.0,612.0,105.0,2.0,77.0,201.0,79.0,1.0,0.0
226,466.0,205.0,1153.0,155.0,8.0,106.0,42.0,79.0,2.0,0.0
227,310.0,10.0,2038.0,1.0,6.0,5.0,16.0,3.0,1.0,0.0
228,340.0,243.0,869.0,16.0,5.0,92.0,109.0,78.0,1.0,1.0
229,484.0,65.0,127.0,42.0,9.0,19.0,8.0,25.0,0.0,1.0
230,64.0,160.0,780.0,67.0,4.0,55.0,70.0,41.0,3.0,0.0
231,423.0,44.0,150.0,37.0,8.0,28.0,38.0,18.0,4.0,0.0
232,287.0,64.0,1607.0,32.0,5.0,17.0,31.0,17.0,0.0,0.0
233,260.0,206.0,484.0,7.0,8.0,53.0,189.0,87.0,0.0,1.0
234,505.0,248.0,462.0,50.0,2.0,83.0,145.0,84.0,4.0,0.0
235,328.0,187.0,571.0,139.0,6.0,61.0,138.0,86.0,2.0,0.0
236,189.0,279.0,713.0,120.0,1.0,100.0,54.0,95.0,5.0,0.0
237,305.0,59.0,858.0,18.0,6.0,13.0,2.0,18.0,0.0,0.0
238,505.0,49.0,1227.0,12.0,7.0,10.0,18.0,15.0,5.0,1.0
239,243.0,165.0,1703.0,64.0,7.0,70.0,108.0,52.0,3.0,1.0
240,454.0,276.0,1908.0,105.0,8.0,82.0,231.0,78.0,2.0,1.0
241,48.0,162.0,430.0,65.0,4.0,29.0,21.0,46.0,2.0,1.0
242,275.0,170.0,691.0,39.0,3.0,33.0,38.0,60.0,0.0,0.0
243,301.0,172.0,2007.0,56.0,1.0,77.0,46.0,80.0,1.0,0.0
244,493.0,350.0,851.0,147.0,9.0,71.0,166.0,91.0,4.0,1.0
245,5.0,234.0,471.0,116.0,4.0,120.0,217.0,78.0,0.0,0.0
246,46.0,268.0,22.0,3.0,2.0,71.0,65.0,78.0,5.0,1.0
247,432.0,236.0,1300.0,71.0,1.0,43.0,16.0,61.0,1.0,0.0
248,433.0,12.0,1658.0,5.0,1.0,3.0,8.0,2.0,2.0,0.0
249,38.0,12.0,43.0,2.0,9.0,6.0,2.0,3.0,4.0,1.0
250,54.0,94.0,1519.0,48.0,6.0,19.0,99.0,31.0,0.0,1.0
251,242.0,209.0,1140.0,82.0,5.0,62.0,180.0,58.0,1.0,0.0
252,583.0,146.0,1299.0,6.0,2.0,28.0,79.0,36.0,0.0,1.0
253,233.0,27.0,2088.0,23.0,9.0,19.0,11.0,11.0,5.0,0.0
254,449.0,143.0,1198.0,66.0,7.0,30.0,48.0,39.0,3.0,1.0
255,217.0,203.0,89.0,111.0,7.0,61.0,233.0,95.0,3.0,0.0
256,363.0,174.0,970.0,53.0,4.0,42.0,228.0,81.0,1.0,1.0
257,268.0,226.0,1415.0,111.0,2.0,56.0,6.0,66.0,1.0,1.0
258,263.0,15.0,716.0,4.0,6.0,4.0,3.0,5.0,5.0,1.0
259,304.0,182.0,411.0,59.0,1.0,29.0,62.0,47.0,1.0,0.0
260,464.0,70.0,932.0,30.0,0.0,34.0,84.0,27.0,2.0,0.0
261,242.0,214.0,687.0,110.0,5.0,122.0,240.0,89.0,2.0,0.0
262,551.0,60.0,856.0,61.0,9.0,40.0,20.0,29.0,1.0,1.0
263,492.0,34.0,1033.0,8.0,0.0,5.0,28.0,9.0,2.0,1.0
264,61.0,117.0,19.0,74.0,2.0,43.0,37.0,55.0,2.0,0.0
265,231.0,204.0,1742.0,20.0,0.0,36.0,33.0,50.0,5.0,0.0
266,325.0,115.0,1617.0,73.0,9.0,43.0,60.0,42.0,5.0,1.0
267,382.0,7.0,2011.0,4.0,9.0,2.0,6.0,2.0,4.0,0.0
268,256.0,245.0,1884.0,62.0,5.0,67.0,141.0,74.0,2.0,0.0
269,173.0,186.0,37.0,161.0,8.0,114.0,229.0,83.0,2.0,0.0
270,510.0,21.0,873.0,0.0,7.0,11.0,8.0,6.0,0.0,1.0
271,515.0,94.0,1440.0,64.0,9.0,48.0,36.0,32.0,1.0,1.0
272,565.0,39.0,670.0,12.0,1.0,13.0,29.0,12.0,1.0,1.0
273,403.0,142.0,1907.0,49.0,0.0,47.0,63.0,38.0,0.0,1.0
274,568.0,216.0,1671.0,54.0,2.0,66.0,152.0,79.0,1.0,0.0
275,482.0,148.0,763.0,43.0,4.0,54.0,61.0,57.0,0.0,1.0
276,420.0,49.0,213.0,0.0,5.0,7.0,30.0,12.0,1.0,0.0
277,299.0,102.0,271.0,55.0,3.0,38.0,45.0,27.0,4.0,1.0
278,53.0,123.0,1544.0,69.0,0.0,65.0,64.0,44.0,2.0,1.0
279,499.0,236.0,801.0,19.0,5.0,60.0,131.0,67.0,2.0,0.0
280,212.0,228.0,1754.0,5.0,1.0,47.0,222.0,87.0,2.0,0.0
281,277.0,172.0,132.0,31.0,3.0,49.0,13.0,45.0,3.0,1.0
282,208.0,226.0,583.0,147.0,3.0,78.0,44.0,94.0,0.0,1.0
283,534.0,309.0,374.0,103.0,6.0,106.0,193.0,77.0,0.0,0.0
284,393.0,183.0,1161.0,71.0,9.0,95.0,26.0,82.0,5.0,1.0
285,346.0,251.0,621.0,46.0,0.0,79.0,197.0,96.0,2.0,0.0
286,72.0,122.0,262.0,63.0,6.0,54.0,14.0,45.0,2.0,0.0
287,573.0,194.0,1792.0,58.0,6.0,121.0,219.0,82.0,4.0,1.0
288,64.0,25.0,1636.0,3.0,2.0,14.0,34.0,10.0,4.0,1.0
289,501.0,132.0,1657.0,93.0,6.0,79.0,139.0,56.0,4.0,0.0
290,372.0,51.0,1115.0,10.0,3.0,21.0,25.0,15.0,0.0,1.0
291,506.0,3.0,72.0,1.0,7.0,1.0,5.0,0.0,3.0,0.0
292,96.0,149.0,1045.0,32.0,7.0,65.0,153.0,57.0,0.0,1.0
293,269.0,138.0,1572.0,120.0,6.0,39.0,47.0,63.0,2.0,0.0
294,376.0,116.0,749.0,48.0,5.0,25.0,45.0,33.0,0.0,0.0
295,379.0,149.0,116.0,82.0,4.0,68.0,1.0,65.0,2.0,1.0
296,508.0,108.0,1779.0,15.0,9.0,29.0,47.0,31.0,2.0,1.0
297,284.0,78.0,2006.0,25.0,1.0,27.0,21.0,19.0,2.0,1.0
298,467.0,212.0,1134.0,151.0,5.0,104.0,27.0,78.0,5.0,1.0
299,48.0,188.0,1820.0,12.0,3.0,42.0,28.0,54.0,2.0,1.0
300,452.0,309.0,1549.0,88.0,7.0,89.0,150.0,78.0,4.0,1.0
301,536.0,127.0,779.0,87.0,3.0,41.0,68.0,56.0,5.0,1.0
302,156.0,228.0,1114.0,24.0,9.0,72.0,60.0,78.0,5.0,0.0
303,81.0,55.0,1490.0,25.0,9.0,31.0,18.0,22.0,1.0,0.0
304,101.0,66.0,1587.0,16.0,1.0,30.0,50.0,18.0,0.0,1.0
305,90.0,52.0,370.0,15.0,2.0,18.0,6.0,12.0,0.0,0.0
306,382.0,164.0,1272.0,96.0,9.0,74.0,100.0,74.0,2.0,0.0
307,128.0,194.0,388.0,92.0,4.0,53.0,34.0,57.0,4.0,1.0
308,305.0,8.0,1403.0,4.0,9.0,2.0,7.0,1.0,5.0,1.0
309,522.0,181.0,979.0,79.0,8.0,57.0,29.0,68.0,3.0,0.0
310,329.0,64.0,406.0,2.0,6.0,23.0,50.0,18.0,2.0,1.0
311,291.0,165.0,143.0,74.0,4.0,76.0,54.0,52.0,0.0,0.0
312,493.0,45.0,2021.0,20.0,6.0,15.0,32.0,11.0,3.0,1.0
313,340.0,24.0,736.0,10.0,0.0,11.0,27.0,12.0,0.0,0.0
314,340.0,123.0,549.0,53.0,7.0,51.0,49.0,58.0,2.0,1.0
315,400.0,155.0,1706.0,37.0,2.0,46.0,124.0,40.0,2.0,1.0
316,492.0,165.0,432.0,97.0,1.0,71.0,113.0,57.0,1.0,0.0
317,105.0,118.0,1252.0,42.0,6.0,54.0,102.0,34.0,2.0,0.0
318,459.0,293.0,756.0,52.0,8.0,87.0,15.0,73.0,1.0,1.0
319,146.0,98.0,183.0,39.0,7.0,39.0,71.0,38.0,1.0,1.0
320,467.0,245.0,1195.0,96.0,3.0,88.0,71.0,63.0,5.0,0.0
321,447.0,269.0,558.0,46.0,7.0,91.0,74.0,75.0,2.0,0.0
322,441.0,9.0,500.0,5.0,0.0,7.0,12.0,4.0,3.0,0.0
323,136.0,277.0,578.0,58.0,0.0,60.0,83.0,73.0,5.0,1.0
324,248.0,42.0,1477.0,11.0,4.0,14.0,2.0,10.0,2.0,1.0
325,400.0,330.0,561.0,103.0,5.0,78.0,229.0,94.0,0.0,1.0
