loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value
628.0,3.0,0.0,0.0,14.0,32.0,4.0,529.0,46.0,22.0,49.0,16.0
142.0,2.0,0.0,1.0,26.0,71.0,8.0,356.0,2.0,23.0,60.0,34.0
263.0,4.0,1.0,0.0,20.0,67.0,9.0,445.0,37.0,39.0,54.0,12.0
645.0,2.0,1.0,0.0,19.0,47.0,1.0,235.0,8.0,6.0,63.0,31.0
23.0,5.0,0.0,0.0,34.0,74.0,7.0,515.0,71.0,13.0,97.0,29.0
1075.0,2.0,1.0,1.0,36.0,111.0,7.0,356.0,91.0,24.0,77.0,38.0
597.0,5.0,0.0,1.0,69.0,194.0,1.0,417.0,78.0,129.0,233.0,58.0
609.0,3.0,0.0,0.0,60.0,210.0,5.0,346.0,66.0,116.0,189.0,50.0
848.0,4.0,1.0,1.0,23.0,58.0,9.0,173.0,60.0,8.0,92.0,32.0
684.0,3.0,1.0,1.0,18.0,39.0,7.0,263.0,18.0,39.0,55.0,13.0
405.0,0.0,1.0,0.0,39.0,105.0,7.0,96.0,60.0,76.0,124.0,53.0
1922.0,3.0,0.0,0.0,47.0,125.0,6.0,344.0,74.0,10.0,127.0,72.0
1181.0,5.0,0.0,1.0,94.0,203.0,2.0,151.0,174.0,110.0,214.0,116.0
933.0,3.0,1.0,0.0,76.0,208.0,5.0,407.0,13.0,107.0,196.0,62.0
2045.0,2.0,0.0,0.0,64.0,212.0,8.0,166.0,138.0,98.0,168.0,48.0
1523.0,1.0,0.0,1.0,0.0,1.0,8.0,544.0,4.0,1.0,1.0,2.0
1194.0,5.0,0.0,0.0,9.0,37.0,7.0,192.0,5.0,1.0,20.0,7.0
596.0,4.0,0.0,1.0,20.0,76.0,8.0,533.0,52.0,17.0,82.0,16.0
987.0,4.0,0.0,1.0,64.0,202.0,3.0,541.0,189.0,54.0,148.0,94.0
395.0,5.0,1.0,1.0,95.0,348.0,7.0,237.0,36.0,150.0,307.0,52.0
107.0,3.0,0.0,1.0,45.0,161.0,4.0,18.0,115.0,81.0,159.0,43.0
1156.0,2.0,1.0,1.0,49.0,130.0,6.0,13.0,60.0,79.0,177.0,39.0
1790.0,1.0,1.0,0.0,55.0,215.0,8.0,348.0,142.0,32.0,215.0,32.0
1540.0,2.0,0.0,0.0,53.0,187.0,0.0,79.0,126.0,10.0,149.0,81.0
416.0,5.0,1.0,1.0,62.0,200.0,7.0,46.0,101.0,109.0,201.0,69.0
1437.0,0.0,1.0,0.0,19.0,79.0,1.0,247.0,40.0,38.0,56.0,17.0
90.0,0.0,1.0,1.0,46.0,172.0,0.0,69.0,118.0,68.0,184.0,35.0
1665.0,5.0,0.0,1.0,65.0,251.0,6.0,505.0,104.0,81.0,182.0,39.0
1709.0,3.0,1.0,0.0,20.0,80.0,8.0,14.0,12.0,9.0,55.0,20.0
235.0,4.0,1.0,0.0,88.0,285.0,7.0,282.0,47.0,156.0,288.0,123.0
1546.0,4.0,0.0,0.0,83.0,175.0,1.0,388.0,68.0,43.0,283.0,80.0
1418.0,4.0,1.0,0.0,58.0,146.0,0.0,21.0,70.0,77.0,177.0,65.0
887.0,4.0,0.0,1.0,13.0,30.0,7.0,79.0,3.0,24.0,29.0,11.0
1497.0,5.0,0.0,0.0,42.0,155.0,1.0,391.0,42.0,63.0,168.0,41.0
1637.0,4.0,0.0,0.0,49.0,152.0,3.0,89.0,68.0,81.0,133.0,67.0
1109.0,4.0,1.0,0.0,84.0,223.0,6.0,419.0,4.0,160.0,202.0,119.0
1912.0,1.0,1.0,0.0,58.0,197.0,5.0,328.0,109.0,43.0,197.0,86.0
930.0,1.0,0.0,0.0,3.0,10.0,2.0,360.0,11.0,5.0,11.0,7.0
1810.0,2.0,1.0,0.0,23.0,83.0,3.0,520.0,26.0,40.0,74.0,13.0
62.0,0.0,1.0,0.0,1.0,8.0,3.0,466.0,9.0,2.0,6.0,1.0
1929.0,4.0,0.0,0.0,91.0,258.0,7.0,314.0,118.0,105.0,208.0,107.0
1844.0,1.0,1.0,0.0,14.0,53.0,2.0,531.0,7.0,28.0,43.0,12.0
1362.0,4.0,1.0,1.0,6.0,25.0,7.0,336.0,10.0,14.0,20.0,6.0
1634.0,2.0,1.0,0.0,45.0,143.0,9.0,289.0,83.0,60.0,138.0,68.0
308.0,2.0,0.0,0.0,47.0,173.0,2.0,545.0,137.0,75.0,124.0,56.0
260.0,3.0,0.0,0.0,65.0,152.0,8.0,187.0,22.0,20.0,260.0,94.0
2059.0,4.0,0.0,1.0,62.0,216.0,2.0,133.0,71.0,100.0,243.0,41.0
1395.0,3.0,1.0,1.0,81.0,308.0,2.0,364.0,11.0,16.0,169.0,61.0
496.0,4.0,1.0,1.0,9.0,26.0,1.0,247.0,29.0,10.0,38.0,16.0
748.0,2.0,1.0,1.0,80.0,273.0,7.0,512.0,116.0,87.0,257.0,107.0
17.0,4.0,1.0,1.0,22.0,53.0,1.0,352.0,46.0,42.0,51.0,25.0
2066.0,0.0,1.0,0.0,0.0,3.0,5.0,373.0,5.0,2.0,1.0,0.0
1525.0,3.0,1.0,0.0,16.0,54.0,0.0,119.0,49.0,0.0,34.0,23.0
908.0,2.0,0.0,1.0,1.0,5.0,4.0,441.0,7.0,3.0,7.0,4.0
372.0,5.0,1.0,1.0,54.0,142.0,4.0,152.0,70.0,78.0,203.0,46.0
1674.0,3.0,0.0,1.0,68.0,260.0,5.0,176.0,144.0,128.0,148.0,99.0
1458.0,0.0,0.0,1.0,24.0,87.0,9.0,307.0,69.0,0.0,81.0,34.0
785.0,4.0,1.0,0.0,27.0,84.0,2.0,106.0,38.0,55.0,79.0,22.0
1065.0,5.0,0.0,1.0,62.0,236.0,2.0,103.0,148.0,124.0,251.0,43.0
871.0,3.0,1.0,0.0,60.0,129.0,6.0,397.0,173.0,89.0,228.0,42.0
1980.0,0.0,1.0,0.0,90.0,244.0,6.0,134.0,49.0,158.0,203.0,107.0
438.0,4.0,1.0,0.0,33.0,99.0,5.0,31.0,77.0,64.0,78.0,34.0
1117.0,2.0,1.0,1.0,49.0,194.0,0.0,423.0,1.0,45.0,126.0,62.0
2020.0,4.0,1.0,0.0,64.0,251.0,5.0,313.0,93.0,35.0,196.0,75.0
1136.0,4.0,0.0,1.0,88.0,299.0,9.0,225.0,206.0,74.0,299.0,129.0
1089.0,5.0,1.0,1.0,68.0,265.0,1.0,573.0,15.0,42.0,221.0,74.0
616.0,5.0,1.0,0.0,97.0,344.0,9.0,165.0,96.0,168.0,363.0,141.0
1336.0,4.0,1.0,1.0,27.0,86.0,8.0,512.0,5.0,34.0,109.0,16.0
1685.0,3.0,1.0,1.0,16.0,54.0,6.0,360.0,54.0,31.0,32.0,27.0
1370.0,0.0,0.0,1.0,94.0,198.0,7.0,124.0,73.0,23.0,336.0,74.0
592.0,1.0,1.0,1.0,44.0,106.0,5.0,158.0,13.0,12.0,106.0,66.0
1545.0,5.0,1.0,0.0,74.0,172.0,2.0,204.0,92.0,35.0,154.0,98.0
899.0,0.0,1.0,0.0,19.0,56.0,6.0,99.0,45.0,0.0,45.0,10.0
1734.0,3.0,1.0,0.0,86.0,246.0,7.0,358.0,168.0,168.0,295.0,105.0
705.0,2.0,1.0,1.0,2.0,11.0,0.0,175.0,3.0,7.0,13.0,2.0
1447.0,1.0,0.0,0.0,7.0,23.0,1.0,44.0,5.0,7.0,26.0,9.0
1047.0,3.0,1.0,1.0,64.0,249.0,9.0,290.0,132.0,36.0,204.0,86.0
552.0,2.0,0.0,1.0,78.0,307.0,3.0,246.0,69.0,35.0,207.0,103.0
1154.0,1.0,1.0,1.0,33.0,132.0,5.0,509.0,85.0,39.0,113.0,41.0
1444.0,0.0,0.0,1.0,10.0,29.0,8.0,168.0,22.0,6.0,21.0,12.0
93.0,3.0,1.0,1.0,34.0,92.0,7.0,438.0,78.0,24.0,94.0,26.0
2036.0,1.0,0.0,0.0,14.0,30.0,0.0,207.0,5.0,13.0,43.0,22.0
489.0,0.0,0.0,0.0,54.0,131.0,0.0,155.0,35.0,41.0,145.0,41.0
1651.0,3.0,0.0,0.0,32.0,106.0,6.0,446.0,55.0,16.0,74.0,30.0
1486.0,1.0,0.0,0.0,61.0,187.0,9.0,363.0,147.0,81.0,157.0,42.0
396.0,2.0,1.0,0.0,63.0,138.0,0.0,399.0,11.0,127.0,206.0,40.0
2012.0,5.0,0.0,1.0,37.0,124.0,3.0,570.0,36.0,58.0,146.0,54.0
1096.0,0.0,0.0,0.0,41.0,166.0,3.0,568.0,66.0,54.0,117.0,37.0
559.0,4.0,1.0,1.0,68.0,232.0,8.0,34.0,151.0,95.0,194.0,78.0
1938.0,1.0,1.0,1.0,58.0,200.0,6.0,530.0,51.0,78.0,234.0,87.0
1748.0,4.0,1.0,1.0,28.0,106.0,0.0,474.0,77.0,33.0,77.0,32.0
730.0,0.0,1.0,1.0,21.0,57.0,7.0,445.0,30.0,21.0,72.0,12.0
2043.0,2.0,1.0,0.0,10.0,38.0,3.0,191.0,28.0,7.0,34.0,13.0
261.0,1.0,1.0,1.0,82.0,244.0,8.0,388.0,224.0,132.0,321.0,122.0
441.0,4.0,0.0,0.0,23.0,51.0,4.0,284.0,35.0,15.0,96.0,29.0
321.0,4.0,1.0,0.0,47.0,111.0,3.0,165.0,121.0,75.0,144.0,48.0
34.0,5.0,1.0,0.0,65.0,242.0,5.0,503.0,13.0,56.0,160.0,62.0
886.0,3.0,0.0,1.0,74.0,295.0,4.0,42.0,190.0,137.0,273.0,111.0
650.0,0.0,0.0,0.0,12.0,29.0,6.0,81.0,32.0,8.0,31.0,20.0
1664.0,0.0,1.0,0.0,17.0,35.0,7.0,235.0,9.0,5.0,37.0,21.0
412.0,4.0,0.0,0.0,68.0,186.0,2.0,170.0,14.0,61.0,144.0,52.0
1502.0,2.0,0.0,1.0,14.0,35.0,5.0,225.0,33.0,14.0,51.0,11.0
1148.0,5.0,1.0,0.0,20.0,78.0,1.0,106.0,4.0,0.0,46.0,24.0
1407.0,0.0,0.0,1.0,52.0,126.0,7.0,53.0,113.0,31.0,179.0,74.0
768.0,1.0,0.0,0.0,93.0,227.0,4.0,318.0,240.0,115.0,214.0,91.0
393.0,3.0,1.0,0.0,56.0,125.0,9.0,33.0,45.0,30.0,150.0,80.0
587.0,3.0,0.0,1.0,49.0,201.0,2.0,443.0,18.0,26.0,115.0,76.0
1228.0,0.0,0.0,0.0,23.0,75.0,3.0,133.0,59.0,0.0,55.0,33.0
1204.0,3.0,1.0,1.0,19.0,71.0,1.0,20.0,34.0,27.0,60.0,22.0
66.0,0.0,1.0,0.0,4.0,13.0,2.0,338.0,16.0,6.0,12.0,7.0
1278.0,2.0,0.0,0.0,77.0,174.0,1.0,99.0,205.0,118.0,253.0,84.0
197.0,5.0,1.0,0.0,74.0,238.0,8.0,411.0,214.0,115.0,226.0,72.0
1130.0,2.0,0.0,1.0,21.0,51.0,3.0,62.0,46.0,5.0,67.0,20.0
1422.0,3.0,1.0,1.0,3.0,14.0,1.0,509.0,6.0,6.0,11.0,4.0
1170.0,4.0,1.0,0.0,95.0,259.0,1.0,211.0,240.0,0.0,222.0,137.0
483.0,2.0,0.0,0.0,30.0,123.0,8.0,484.0,63.0,35.0,93.0,20.0
1247.0,4.0,1.0,1.0,53.0,197.0,3.0,356.0,39.0,47.0,177.0,79.0
190.0,1.0,1.0,0.0,69.0,232.0,5.0,457.0,65.0,121.0,221.0,73.0
2032.0,4.0,1.0,1.0,87.0,267.0,8.0,61.0,79.0,96.0,251.0,126.0
1206.0,5.0,1.0,0.0,45.0,171.0,0.0,216.0,107.0,70.0,106.0,52.0
92.0,0.0,1.0,0.0,17.0,38.0,8.0,487.0,5.0,8.0,45.0,12.0
326.0,3.0,1.0,0.0,14.0,53.0,2.0,400.0,32.0,8.0,57.0,16.0
816.0,1.0,0.0,1.0,62.0,136.0,5.0,13.0,187.0,63.0,183.0,49.0
1840.0,3.0,0.0,1.0,62.0,155.0,8.0,319.0,70.0,27.0,245.0,53.0
349.0,1.0,0.0,1.0,42.0,144.0,3.0,578.0,115.0,63.0,91.0,24.0
409.0,1.0,0.0,0.0,24.0,63.0,2.0,200.0,24.0,19.0,93.0,21.0
1106.0,1.0,1.0,0.0,87.0,237.0,2.0,77.0,166.0,74.0,274.0,75.0
1805.0,4.0,1.0,0.0,65.0,250.0,5.0,248.0,170.0,36.0,232.0,49.0
677.0,0.0,1.0,0.0,85.0,326.0,6.0,440.0,72.0,137.0,225.0,70.0
325.0,5.0,0.0,1.0,69.0,205.0,2.0,138.0,30.0,71.0,279.0,71.0
984.0,4.0,1.0,0.0,37.0,85.0,6.0,220.0,47.0,49.0,146.0,31.0
1393.0,3.0,1.0,1.0,5.0,22.0,3.0,21.0,20.0,12.0,14.0,4.0
9.0,2.0,0.0,1.0,89.0,309.0,6.0,369.0,109.0,164.0,206.0,50.0
1747.0,1.0,1.0,1.0,27.0,96.0,8.0,471.0,14.0,1.0,107.0,26.0
760.0,2.0,1.0,1.0,54.0,197.0,4.0,65.0,138.0,50.0,188.0,60.0
65.0,4.0,1.0,1.0,56.0,229.0,8.0,151.0,162.0,42.0,223.0,75.0
1643.0,1.0,0.0,1.0,50.0,160.0,2.0,217.0,111.0,34.0,204.0,46.0
852.0,0.0,1.0,1.0,90.0,337.0,1.0,392.0,170.0,158.0,238.0,98.0
732.0,0.0,1.0,0.0,94.0,353.0,3.0,118.0,17.0,141.0,329.0,135.0
1032.0,4.0,1.0,1.0,62.0,181.0,7.0,20.0,178.0,36.0,136.0,83.0
839.0,4.0,1.0,0.0,4.0,9.0,6.0,36.0,6.0,5.0,20.0,5.0
1116.0,0.0,0.0,1.0,73.0,163.0,6.0,136.0,173.0,145.0,238.0,103.0
936.0,1.0,0.0,0.0,16.0,56.0,7.0,490.0,9.0,25.0,47.0,10.0
1774.0,5.0,0.0,0.0,23.0,61.0,7.0,282.0,33.0,39.0,55.0,35.0
1684.0,3.0,0.0,0.0,64.0,143.0,4.0,526.0,154.0,121.0,145.0,60.0
1097.0,1.0,1.0,1.0,51.0,186.0,7.0,59.0,4.0,50.0,116.0,55.0
96.0,4.0,1.0,0.0,90.0,268.0,5.0,557.0,46.0,18.0,331.0,114.0
1456.0,3.0,0.0,0.0,19.0,79.0,2.0,443.0,10.0,29.0,46.0,10.0
1358.0,5.0,0.0,1.0,53.0,185.0,5.0,295.0,34.0,7.0,207.0,50.0
8.0,4.0,0.0,1.0,27.0,109.0,0.0,240.0,82.0,47.0,92.0,31.0
1763.0,3.0,1.0,1.0,5.0,17.0,8.0,237.0,9.0,13.0,12.0,4.0
1839.0,2.0,0.0,0.0,18.0,59.0,7.0,386.0,42.0,6.0,51.0,13.0
436.0,2.0,0.0,0.0,39.0,146.0,5.0,263.0,0.0,52.0,127.0,34.0
1360.0,5.0,0.0,0.0,38.0,91.0,1.0,413.0,3.0,0.0,118.0,20.0
1735.0,3.0,1.0,0.0,33.0,134.0,1.0,135.0,53.0,28.0,127.0,44.0
727.0,1.0,0.0,1.0,84.0,193.0,7.0,192.0,149.0,30.0,207.0,53.0
985.0,3.0,0.0,0.0,53.0,195.0,6.0,538.0,74.0,30.0,152.0,31.0
971.0,3.0,0.0,0.0,44.0,97.0,1.0,392.0,69.0,15.0,158.0,45.0
1210.0,3.0,0.0,0.0,37.0,104.0,2.0,478.0,107.0,19.0,122.0,27.0
1996.0,3.0,0.0,1.0,75.0,220.0,9.0,579.0,217.0,133.0,236.0,91.0
174.0,4.0,1.0,1.0,62.0,232.0,0.0,180.0,74.0,27.0,233.0,39.0
1099.0,1.0,0.0,1.0,64.0,204.0,1.0,286.0,49.0,2.0,261.0,89.0
827.0,0.0,0.0,1.0,77.0,232.0,9.0,439.0,169.0,153.0,209.0,40.0
1380.0,4.0,0.0,1.0,90.0,183.0,0.0,573.0,240.0,42.0,327.0,97.0
610.0,1.0,1.0,1.0,42.0,163.0,8.0,82.0,9.0,53.0,131.0,51.0
1391.0,2.0,1.0,1.0,76.0,268.0,8.0,313.0,61.0,60.0,261.0,43.0
1468.0,5.0,1.0,0.0,81.0,174.0,5.0,32.0,194.0,132.0,222.0,98.0
330.0,2.0,0.0,1.0,9.0,31.0,4.0,123.0,4.0,8.0,36.0,14.0
1076.0,4.0,1.0,1.0,91.0,243.0,7.0,116.0,182.0,0.0,264.0,51.0
1725.0,5.0,1.0,0.0,24.0,79.0,1.0,534.0,75.0,20.0,86.0,27.0
358.0,1.0,1.0,0.0,39.0,119.0,2.0,52.0,74.0,56.0,160.0,35.0
1009.0,2.0,0.0,0.0,92.0,228.0,1.0,183.0,199.0,35.0,283.0,109.0
1743.0,4.0,0.0,1.0,12.0,45.0,2.0,108.0,15.0,3.0,41.0,16.0
1784.0,3.0,1.0,1.0,52.0,160.0,1.0,206.0,17.0,34.0,128.0,60.0
206.0,0.0,1.0,1.0,8.0,37.0,4.0,311.0,25.0,13.0,34.0,11.0
1923.0,1.0,1.0,1.0,5.0,15.0,7.0,332.0,22.0,4.0,13.0,9.0
369.0,4.0,0.0,0.0,4.0,13.0,9.0,553.0,15.0,10.0,14.0,2.0
182.0,3.0,0.0,0.0,77.0,180.0,4.0,421.0,43.0,34.0,219.0,84.0
1439.0,5.0,0.0,1.0,36.0,117.0,0.0,340.0,63.0,53.0,100.0,42.0
1183.0,4.0,0.0,0.0,74.0,293.0,9.0,59.0,139.0,58.0,150.0,59.0
988.0,5.0,0.0,0.0,77.0,281.0,5.0,497.0,122.0,144.0,295.0,117.0
1871.0,1.0,1.0,1.0,35.0,106.0,6.0,438.0,38.0,28.0,129.0,41.0
1234.0,1.0,0.0,1.0,38.0,118.0,5.0,54.0,106.0,25.0,153.0,50.0
1499.0,3.0,0.0,0.0,92.0,200.0,4.0,340.0,194.0,67.0,349.0,100.0
1888.0,2.0,0.0,1.0,83.0,253.0,7.0,404.0,115.0,148.0,169.0,57.0
1503.0,1.0,1.0,1.0,58.0,128.0,0.0,66.0,100.0,22.0,134.0,49.0
2054.0,1.0,0.0,0.0,69.0,257.0,7.0,417.0,44.0,95.0,186.0,89.0
147.0,1.0,0.0,1.0,57.0,164.0,7.0,8.0,59.0,88.0,188.0,53.0
1555.0,0.0,0.0,0.0,29.0,108.0,3.0,198.0,36.0,46.0,111.0,18.0
1125.0,1.0,1.0,0.0,84.0,256.0,0.0,298.0,38.0,149.0,321.0,122.0
855.0,4.0,0.0,0.0,77.0,301.0,0.0,261.0,77.0,34.0,198.0,74.0
1162.0,5.0,1.0,1.0,90.0,276.0,4.0,143.0,218.0,33.0,326.0,107.0
1661.0,0.0,0.0,1.0,90.0,289.0,0.0,552.0,93.0,138.0,314.0,53.0
1745.0,5.0,0.0,0.0,66.0,190.0,2.0,549.0,122.0,1.0,226.0,90.0
800.0,5.0,1.0,1.0,75.0,255.0,8.0,270.0,51.0,77.0,269.0,106.0
1000.0,1.0,0.0,0.0,17.0,57.0,9.0,233.0,12.0,14.0,40.0,13.0
1452.0,2.0,1.0,0.0,61.0,183.0,6.0,556.0,100.0,119.0,158.0,75.0
1733.0,1.0,0.0,0.0,77.0,155.0,3.0,244.0,9.0,35.0,184.0,83.0
612.0,1.0,0.0,0.0,79.0,279.0,2.0,434.0,201.0,105.0,215.0,77.0
1153.0,2.0,0.0,0.0,79.0,205.0,8.0,466.0,42.0,155.0,164.0,106.0
2038.0,1.0,0.0,0.0,3.0,10.0,6.0,310.0,16.0,1.0,17.0,5.0
869.0,1.0,0.0,1.0,78.0,243.0,5.0,340.0,109.0,16.0,215.0,92.0
127.0,0.0,1.0,1.0,25.0,65.0,9.0,484.0,8.0,42.0,67.0,19.0
780.0,3.0,0.0,0.0,41.0,160.0,4.0,64.0,70.0,67.0,120.0,55.0
150.0,4.0,1.0,0.0,18.0,44.0,8.0,423.0,38.0,37.0,67.0,28.0
1607.0,0.0,1.0,0.0,17.0,64.0,5.0,287.0,31.0,32.0,46.0,17.0
484.0,0.0,0.0,1.0,87.0,206.0,8.0,260.0,189.0,7.0,321.0,53.0
462.0,4.0,1.0,0.0,84.0,248.0,2.0,505.0,145.0,50.0,257.0,83.0
571.0,2.0,1.0,0.0,86.0,187.0,6.0,328.0,138.0,139.0,268.0,61.0
713.0,5.0,1.0,0.0,95.0,279.0,1.0,189.0,54.0,120.0,241.0,100.0
858.0,0.0,0.0,0.0,18.0,59.0,6.0,305.0,2.0,18.0,51.0,13.0
1227.0,5.0,1.0,1.0,15.0,49.0,7.0,505.0,18.0,12.0,37.0,10.0
1703.0,3.0,1.0,1.0,52.0,165.0,7.0,243.0,108.0,64.0,131.0,70.0
1908.0,2.0,1.0,1.0,78.0,276.0,8.0,454.0,231.0,105.0,174.0,82.0
430.0,2.0,1.0,1.0,46.0,162.0,4.0,48.0,21.0,65.0,111.0,29.0
691.0,0.0,1.0,0.0,60.0,170.0,3.0,275.0,38.0,39.0,133.0,33.0
2007.0,1.0,0.0,0.0,80.0,172.0,1.0,301.0,46.0,56.0,238.0,77.0
851.0,4.0,1.0,1.0,91.0,350.0,9.0,493.0,166.0,147.0,262.0,71.0
471.0,0.0,0.0,0.0,78.0,234.0,4.0,5.0,217.0,116.0,169.0,120.0
22.0,5.0,0.0,1.0,78.0,268.0,2.0,46.0,65.0,3.0,164.0,71.0
1300.0,1.0,1.0,0.0,61.0,236.0,1.0,432.0,16.0,71.0,215.0,43.0
1658.0,2.0,1.0,0.0,2.0,12.0,1.0,433.0,8.0,5.0,9.0,3.0
43.0,4.0,1.0,1.0,3.0,12.0,9.0,38.0,2.0,2.0,16.0,6.0
1519.0,0.0,0.0,1.0,31.0,94.0,6.0,54.0,99.0,48.0,91.0,19.0
1140.0,1.0,0.0,0.0,58.0,209.0,5.0,242.0,180.0,82.0,166.0,62.0
1299.0,0.0,1.0,1.0,36.0,146.0,2.0,583.0,79.0,6.0,121.0,28.0
2088.0,5.0,0.0,0.0,11.0,27.0,9.0,233.0,11.0,23.0,29.0,19.0
1198.0,3.0,0.0,1.0,39.0,143.0,7.0,449.0,48.0,66.0,146.0,30.0
89.0,3.0,1.0,0.0,95.0,203.0,7.0,217.0,233.0,111.0,271.0,61.0
970.0,1.0,0.0,1.0,81.0,174.0,4.0,363.0,228.0,53.0,284.0,42.0
1415.0,1.0,0.0,1.0,66.0,226.0,2.0,268.0,6.0,111.0,135.0,56.0
716.0,5.0,0.0,1.0,5.0,15.0,6.0,263.0,3.0,4.0,16.0,4.0
411.0,1.0,1.0,0.0,47.0,182.0,1.0,304.0,62.0,59.0,161.0,29.0
932.0,2.0,1.0,0.0,27.0,70.0,0.0,464.0,84.0,30.0,82.0,34.0
687.0,2.0,0.0,0.0,89.0,214.0,5.0,242.0,240.0,110.0,338.0,122.0
856.0,1.0,1.0,1.0,29.0,60.0,9.0,551.0,20.0,61.0,63.0,40.0
1033.0,2.0,0.0,1.0,9.0,34.0,0.0,492.0,28.0,8.0,26.0,5.0
19.0,2.0,0.0,0.0,55.0,117.0,2.0,61.0,37.0,74.0,214.0,43.0
1742.0,5.0,0.0,0.0,50.0,204.0,0.0,231.0,33.0,20.0,143.0,36.0
1617.0,5.0,0.0,1.0,42.0,115.0,9.0,325.0,60.0,73.0,149.0,43.0
2011.0,4.0,0.0,0.0,2.0,7.0,9.0,382.0,6.0,4.0,13.0,2.0
1884.0,2.0,0.0,0.0,74.0,245.0,5.0,256.0,141.0,62.0,244.0,67.0
37.0,2.0,1.0,0.0,83.0,186.0,8.0,173.0,229.0,161.0,256.0,114.0
873.0,0.0,1.0,1.0,6.0,21.0,7.0,510.0,8.0,0.0,28.0,11.0
1440.0,1.0,1.0,1.0,32.0,94.0,9.0,515.0,36.0,64.0,100.0,48.0
670.0,1.0,0.0,1.0,12.0,39.0,1.0,565.0,29.0,12.0,48.0,13.0
1907.0,0.0,0.0,1.0,38.0,142.0,0.0,403.0,63.0,49.0,119.0,47.0
1671.0,1.0,1.0,0.0,79.0,216.0,2.0,568.0,152.0,54.0,272.0,66.0
763.0,0.0,0.0,1.0,57.0,148.0,4.0,482.0,61.0,43.0,146.0,54.0
213.0,1.0,0.0,0.0,12.0,49.0,5.0,420.0,30.0,0.0,34.0,7.0
271.0,4.0,0.0,1.0,27.0,102.0,3.0,299.0,45.0,55.0,73.0,38.0
1544.0,2.0,0.0,1.0,44.0,123.0,0.0,53.0,64.0,69.0,145.0,65.0
801.0,2.0,1.0,0.0,67.0,236.0,5.0,499.0,131.0,19.0,263.0,60.0
1754.0,2.0,1.0,0.0,87.0,228.0,1.0,212.0,222.0,5.0,249.0,47.0
132.0,3.0,1.0,1.0,45.0,172.0,3.0,277.0,13.0,31.0,93.0,49.0
583.0,0.0,1.0,1.0,94.0,226.0,3.0,208.0,44.0,147.0,327.0,78.0
374.0,0.0,1.0,0.0,77.0,309.0,6.0,534.0,193.0,103.0,263.0,106.0
1161.0,5.0,1.0,1.0,82.0,183.0,9.0,393.0,26.0,71.0,285.0,95.0
