loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status
1294,1, Graduate, Yes,3300000,10600000,14,742,300000,600000,8400000,4500000, Approved
4110,3, Graduate, No,3800000,12100000,20,364,4100000,5100000,11600000,3000000, Rejected
237,3, Graduate, Yes,900000,3500000,4,770,700000,0,2000000,600000, Rejected
1427,2, Graduate, No,1500000,3300000,18,440,800000,2300000,3000000,1800000, Rejected
349,0, Not Graduate, No,2000000,7000000,6,666,0,1200000,4300000,1400000, Rejected
662,4, Not Graduate, Yes,1600000,4800000,20,641,4200000,1000000,4100000,1400000, Approved
311,3, Not Graduate, No,6400000,24400000,4,483,7800000,2400000,19100000,4500000, Approved
3794,2, Not Graduate, No,8300000,20800000,6,667,19300000,4100000,25400000,6800000, Approved
3239,3, Graduate, Yes,8000000,25300000,4,306,22300000,7300000,24400000,6600000, Approved
2280,3, Graduate, Yes,1000000,2300000,10,303,1000000,400000,2500000,1000000, Rejected
87,5, Not Graduate, Yes,1100000,3800000,18,387,1300000,1200000,3800000,1600000, Rejected
990,5, Not Graduate, No,4400000,14900000,4,865,8200000,6200000,14900000,3500000, Approved
1888,2, Graduate, No,9500000,31500000,12,650,17600000,16600000,22200000,11400000, Approved
271,5, Not Graduate, No,5200000,12200000,20,513,13400000,2000000,16800000,5400000, Rejected
1377,2, Graduate, Yes,1400000,4600000,4,804,1900000,2200000,5200000,700000, Approved
105,5, Not Graduate, Yes,6200000,23600000,10,331,18500000,10300000,23800000,8700000, Rejected
3611,2, Not Graduate, Yes,8800000,31100000,12,729,12300000,2400000,21900000,9400000, Approved
831,0, Graduate, No,7300000,14500000,16,811,1000000,12400000,16100000,9600000, Approved
352,2, Graduate, No,7300000,28700000,14,634,5900000,3800000,21200000,10800000, Approved
2145,5, Not Graduate, Yes,6600000,16000000,12,811,13100000,5000000,14700000,5000000, Approved
3636,3, Not Graduate, Yes,5400000,16300000,4,512,1600000,3400000,13100000,6000000, Approved
2435,0, Not Graduate, No,3900000,11300000,12,305,5000000,5900000,8800000,2100000, Rejected
2974,0, Graduate, No,4800000,18600000,6,618,12300000,5900000,16800000,4000000, Approved
113,5, Not Graduate, No,7100000,19700000,8,502,7300000,5600000,25300000,9800000, Rejected
2037,3, Not Graduate, Yes,9300000,23500000,16,728,3500000,9900000,27300000,9800000, Approved
3730,2, Not Graduate, No,8800000,22400000,14,692,21700000,5100000,18600000,10900000, Approved
2215,0, Graduate, No,1800000,5800000,18,348,2900000,700000,6700000,1000000, Rejected
1747,2, Not Graduate, No,5400000,13800000,20,574,900000,9200000,10900000,3700000, Approved
502,2, Graduate, No,4700000,12500000,14,375,1300000,6300000,10100000,5400000, Rejected
1263,2, Graduate, Yes,2200000,7900000,6,659,3400000,1800000,8600000,2400000, Approved
3015,4, Graduate, Yes,2500000,8000000,8,464,4000000,3000000,9000000,3000000, Rejected
2998,4, Not Graduate, Yes,7000000,19800000,16,682,9300000,5300000,14500000,7300000, Approved
2871,2, Graduate, Yes,4000000,8600000,4,847,10200000,2700000,14300000,2400000, Approved
2824,4, Not Graduate, Yes,2700000,6800000,10,455,4700000,2600000,7400000,2700000, Rejected
4092,5, Not Graduate, No,7700000,19000000,2,539,4000000,14500000,29300000,4100000, Rejected
1248,1, Graduate, Yes,1000000,3200000,4,888,2000000,1500000,2200000,1300000, Approved
1080,2, Graduate, No,3300000,8300000,6,653,4700000,3100000,8300000,4600000, Approved
922,3, Not Graduate, Yes,2100000,6100000,8,346,5500000,600000,4500000,2900000, Rejected
2538,5, Not Graduate, Yes,2900000,7500000,12,678,3400000,3000000,10900000,3700000, Approved
4019,4, Graduate, Yes,9700000,33300000,12,784,14600000,15800000,37900000,6500000, Approved
2783,5, Graduate, No,8000000,27000000,20,595,4500000,5200000,24800000,10400000, Approved
3586,2, Graduate, Yes,3900000,9700000,8,539,4400000,7600000,7900000,5100000, Rejected
1274,1, Graduate, No,8400000,25000000,12,694,5300000,14900000,23000000,7700000, Approved
3805,5, Graduate, Yes,7400000,23300000,20,482,15700000,3600000,29100000,6800000, Rejected
1600,2, Not Graduate, Yes,3900000,9300000,8,591,10900000,2700000,9600000,3300000, Approved
3423,1, Not Graduate, No,8100000,21900000,6,884,15100000,5400000,27500000,6600000, Approved
3424,1, Not Graduate, No,1100000,3700000,2,508,200000,0,2200000,1300000, Approved
2363,3, Graduate, Yes,6100000,21600000,16,428,2900000,6100000,15100000,7200000, Rejected
450,3, Graduate, Yes,2900000,5800000,12,353,8400000,2600000,10100000,3100000, Rejected
3453,5, Not Graduate, Yes,2300000,5000000,10,431,300000,3700000,8700000,2900000, Rejected
420,2, Not Graduate, Yes,1700000,3500000,20,693,2200000,1400000,4800000,1700000, Approved
2646,0, Not Graduate, Yes,800000,3200000,8,467,900000,400000,3100000,800000, Rejected
2707,4, Not Graduate, Yes,1100000,3000000,4,730,300000,600000,3600000,1100000, Approved
2900,0, Graduate, Yes,2200000,8300000,10,585,3600000,1700000,4300000,1900000, Approved
1916,0, Graduate, Yes,9400000,30700000,10,477,17400000,900000,27500000,6200000, Rejected
1018,1, Not Graduate, Yes,2500000,6700000,2,502,3400000,2600000,9400000,1400000, Rejected
2385,3, Graduate, Yes,9100000,30100000,14,564,26600000,7300000,22700000,8200000, Approved
2802,3, Graduate, Yes,4400000,10000000,8,875,5900000,5200000,11700000,4100000, Approved
128,3, Not Graduate, No,5100000,18200000,10,395,100000,8000000,15500000,6300000, Rejected
1280,0, Not Graduate, Yes,5500000,16300000,10,724,11900000,1500000,11900000,6200000, Approved
3412,3, Graduate, Yes,6700000,16400000,2,508,4400000,10900000,25300000,9200000, Rejected
930,1, Not Graduate, No,2400000,5200000,2,371,6100000,3100000,8500000,1400000, Rejected
777,5, Not Graduate, No,3100000,10800000,10,681,5100000,1700000,7400000,1500000, Approved
2112,4, Not Graduate, No,1700000,4500000,12,821,3200000,1900000,4900000,1500000, Approved
3696,2, Not Graduate, No,2500000,8600000,8,835,2500000,4000000,7700000,1300000, Approved
104,4, Graduate, No,1600000,4500000,12,633,700000,1700000,4100000,1900000, Approved
363,1, Not Graduate, Yes,9000000,32200000,16,468,4500000,16400000,28600000,10900000, Rejected
645,3, Not Graduate, No,4100000,8500000,2,833,12000000,0,16200000,3400000, Approved
1012,1, Not Graduate, No,1400000,3300000,8,306,3200000,800000,2700000,800000, Rejected
2815,5, Graduate, No,4100000,10200000,12,431,6200000,2200000,13700000,4300000, Rejected
3633,4, Graduate, No,3300000,10800000,4,552,4200000,900000,8600000,3300000, Approved
1286,4, Not Graduate, Yes,3100000,8600000,14,427,3100000,3800000,9900000,3700000, Rejected
1114,4, Graduate, No,4600000,9400000,18,545,800000,2400000,11500000,6300000, Rejected
2856,0, Graduate, No,9400000,28300000,20,761,22500000,14800000,30800000,10100000, Approved
3226,3, Graduate, No,6200000,14900000,14,567,1200000,9100000,20800000,8800000, Approved
596,4, Graduate, Yes,2700000,5400000,6,861,6300000,2400000,6700000,2700000, Approved
4124,0, Not Graduate, Yes,6200000,16200000,6,508,5600000,5700000,21500000,3600000, Rejected
2018,1, Graduate, Yes,7400000,29500000,16,323,10000000,4400000,29400000,8100000, Rejected
3194,5, Graduate, Yes,7700000,16400000,2,663,1100000,14800000,15800000,3900000, Approved
1135,2, Not Graduate, No,1600000,5200000,16,525,300000,2900000,5600000,1600000, Rejected
3978,5, Graduate, Yes,7600000,18000000,12,452,7900000,4300000,23800000,4700000, Rejected
3447,3, Not Graduate, Yes,1800000,5700000,14,670,5300000,3100000,3500000,2700000, Approved
2738,1, Graduate, No,2500000,7600000,20,888,7400000,4200000,6400000,1900000, Approved
2591,0, Not Graduate, Yes,3700000,11300000,6,538,6200000,400000,10400000,5400000, Rejected
829,4, Not Graduate, No,6300000,21900000,10,538,9600000,5400000,19300000,7800000, Rejected
3344,0, Graduate, No,3100000,10400000,18,622,1300000,5000000,7200000,1600000, Approved
3203,5, Not Graduate, Yes,4800000,13100000,6,717,8300000,8900000,18300000,2800000, Approved
1035,0, Graduate, No,9400000,33000000,4,616,15400000,5000000,25100000,7800000, Approved
354,0, Graduate, No,3000000,7000000,10,781,7200000,600000,11700000,2700000, Approved
3675,3, Graduate, Yes,5600000,12700000,12,395,8200000,9300000,22000000,6400000, Rejected
49,3, Not Graduate, No,5500000,20500000,12,634,800000,8600000,18500000,8200000, Approved
631,1, Not Graduate, Yes,9000000,29900000,2,668,22100000,7200000,24400000,4700000, Approved
1626,2, Not Graduate, Yes,9900000,33200000,4,465,26300000,17000000,24400000,5000000, Approved
3989,1, Graduate, No,6900000,19500000,2,809,6100000,10600000,22900000,9300000, Approved
3539,0, Graduate, No,6900000,20700000,16,857,17100000,13700000,14600000,8800000, Approved
3448,5, Not Graduate, Yes,8200000,20900000,14,726,11400000,4800000,26000000,8400000, Approved
1423,3, Graduate, No,800000,2500000,12,828,1700000,0,1500000,700000, Approved
2248,5, Not Graduate, No,1000000,2300000,16,423,1700000,700000,2900000,1400000, Rejected
250,1, Not Graduate, Yes,1900000,5000000,6,560,1000000,1900000,6300000,1400000, Approved
69,4, Graduate, No,5600000,12400000,4,777,5500000,3100000,11800000,5500000, Approved
578,3, Not Graduate, No,2400000,8600000,8,684,3400000,2400000,6200000,1600000, Approved
3510,0, Graduate, No,9500000,28400000,18,577,6200000,10300000,30200000,14100000, Approved
217,2, Graduate, No,2600000,7800000,4,819,3100000,4300000,5700000,1500000, Approved
1052,0, Graduate, No,1900000,6800000,4,782,100000,3400000,4900000,2400000, Approved
1118,0, Not Graduate, No,8200000,20300000,4,666,13100000,10200000,25900000,7800000, Approved
3390,1, Not Graduate, No,4300000,16400000,20,397,6700000,6200000,10200000,5700000, Rejected
337,3, Graduate, No,7900000,18300000,10,731,4200000,3400000,22200000,8400000, Approved
1290,2, Not Graduate, No,1500000,4500000,18,428,4500000,1200000,5600000,1100000, Rejected
2696,5, Graduate, No,2800000,11000000,12,753,3900000,4600000,10700000,2400000, Approved
2985,4, Graduate, Yes,6400000,21700000,10,384,16500000,8200000,15100000,5700000, Rejected
3781,3, Graduate, Yes,600000,1700000,4,576,400000,100000,2100000,500000, Approved
3532,1, Not Graduate, No,5100000,15300000,4,721,7000000,6100000,15300000,5900000, Approved
800,3, Not Graduate, Yes,5100000,10400000,18,399,8000000,4300000,20100000,4600000, Rejected
1566,2, Not Graduate, Yes,3500000,13300000,4,420,6400000,1700000,8000000,2300000, Approved
2154,3, Graduate, Yes,9700000,36000000,6,631,3500000,5500000,28500000,7500000, Approved
2556,2, Graduate, No,1800000,5700000,14,502,1400000,1100000,4400000,1300000, Rejected
487,2, Not Graduate, No,2400000,6200000,12,860,4900000,3700000,9500000,1100000, Approved
3153,0, Not Graduate, No,6900000,23500000,2,621,7800000,7300000,23100000,9400000, Approved
950,2, Graduate, Yes,300000,700000,4,411,600000,0,1200000,100000, Rejected
118,0, Not Graduate, No,600000,1600000,6,647,1500000,600000,1500000,700000, Approved
3897,0, Graduate, Yes,4000000,14500000,2,713,6200000,4900000,12200000,4700000, Approved
2829,4, Graduate, Yes,9200000,18600000,2,889,26900000,4200000,33300000,9700000, Approved
2663,3, Graduate, No,4200000,12500000,20,375,1300000,5100000,10900000,2400000, Rejected
2031,1, Graduate, No,1900000,6000000,20,540,1100000,1400000,4300000,1300000, Rejected
3536,1, Not Graduate, Yes,4600000,13600000,18,487,11200000,8500000,15500000,5400000, Rejected
3099,5, Graduate, Yes,5300000,18200000,16,546,14600000,7900000,13400000,4000000, Rejected
3893,0, Graduate, No,9100000,27100000,12,787,24300000,2900000,34800000,9500000, Approved
3913,1, Graduate, No,7100000,14300000,12,720,4600000,500000,27300000,8400000, Approved
75,2, Not Graduate, No,2600000,8400000,6,494,6500000,3800000,5600000,2000000, Rejected
984,4, Graduate, No,4800000,14000000,2,695,11300000,1700000,15400000,4600000, Approved
3358,2, Not Graduate, Yes,3900000,7700000,10,421,9700000,7500000,14100000,2100000, Rejected
2267,5, Not Graduate, Yes,9200000,36300000,2,655,3000000,1200000,32200000,8700000, Approved
1352,4, Not Graduate, No,4200000,15500000,18,794,7300000,700000,13400000,2200000, Approved
1767,2, Not Graduate, No,7500000,29100000,20,815,12400000,9500000,25300000,9100000, Approved
2406,3, Not Graduate, No,2600000,8100000,2,421,4200000,3100000,6200000,2500000, Approved
3057,5, Graduate, No,6300000,18100000,4,590,5400000,10900000,22400000,8600000, Approved
1051,0, Not Graduate, Yes,2500000,8800000,14,389,7300000,1400000,8500000,3600000, Rejected
4013,2, Not Graduate, No,700000,2300000,8,663,700000,500000,2800000,1000000, Approved
2500,3, Not Graduate, Yes,2700000,6700000,14,899,2400000,4200000,6000000,2000000, Approved
2211,4, Not Graduate, Yes,2800000,8400000,10,521,1500000,1200000,9100000,3700000, Rejected
1844,2, Graduate, Yes,1200000,3500000,16,540,3100000,1800000,3500000,800000, Rejected
2494,3, Graduate, No,2000000,4200000,6,831,1300000,1700000,6900000,1200000, Approved
3308,1, Graduate, No,800000,2300000,10,770,900000,900000,2900000,1100000, Approved
2653,2, Graduate, Yes,7000000,18900000,8,584,13000000,13600000,20600000,5000000, Approved
639,1, Graduate, Yes,5200000,19500000,12,778,5200000,4300000,19900000,5800000, Approved
1472,3, Not Graduate, No,6600000,21400000,10,467,15200000,6000000,20300000,5200000, Rejected
3352,4, Not Graduate, Yes,1200000,2800000,6,366,3300000,300000,4200000,1400000, Rejected
2482,3, Not Graduate, Yes,2100000,7400000,4,320,3300000,2700000,6300000,2200000, Approved
899,0, Graduate, Yes,2500000,5800000,18,494,5100000,4400000,8500000,2300000, Rejected
1417,2, Not Graduate, No,7800000,17100000,14,351,19000000,7200000,19300000,7100000, Rejected
3471,3, Not Graduate, Yes,8300000,25900000,8,696,14400000,12200000,23500000,7100000, Approved
2283,0, Graduate, Yes,7500000,16600000,14,440,17200000,14500000,24100000,10300000, Rejected
3578,5, Not Graduate, Yes,9700000,27600000,10,788,9400000,3100000,31800000,10600000, Approved
1965,3, Graduate, No,3800000,11800000,4,694,0,500000,8300000,5100000, Approved
2102,2, Graduate, Yes,2900000,7300000,8,394,7700000,2600000,7700000,4000000, Rejected
3910,1, Not Graduate, Yes,9100000,31400000,4,304,14100000,16700000,30200000,9600000, Approved
3171,1, Not Graduate, No,9600000,26000000,16,368,18500000,16600000,29900000,8400000, Rejected
3230,5, Not Graduate, No,3000000,7600000,6,413,2300000,3500000,11400000,1700000, Rejected
5,5, Not Graduate, Yes,9800000,24200000,20,382,12400000,8200000,29400000,5000000, Rejected
3141,1, Graduate, Yes,3800000,8800000,12,670,5200000,4700000,12200000,3800000, Approved
2084,1, Graduate, No,2400000,8900000,8,835,2400000,1200000,5500000,1100000, Approved
2574,4, Not Graduate, No,5600000,14800000,20,656,9600000,9200000,11600000,6500000, Approved
646,4, Not Graduate, No,4900000,11400000,8,470,12000000,7500000,14700000,4800000, Rejected
724,5, Not Graduate, Yes,600000,1500000,2,319,100000,1100000,2100000,600000, Rejected
2777,4, Graduate, Yes,7900000,30700000,10,322,10600000,13200000,30300000,6300000, Rejected
2951,4, Not Graduate, Yes,2100000,5500000,18,349,100000,0,6600000,2000000, Rejected
1197,3, Not Graduate, No,2200000,6400000,20,667,6300000,3900000,8300000,2900000, Approved
2562,1, Not Graduate, Yes,700000,1400000,10,523,700000,1100000,1600000,900000, Rejected
374,4, Not Graduate, Yes,9200000,25500000,10,900,9400000,10500000,27400000,12800000, Approved
3152,3, Graduate, No,1400000,3200000,8,753,2200000,2000000,3600000,2000000, Approved
1216,5, Graduate, Yes,9600000,38000000,10,359,2100000,13600000,38200000,9400000, Rejected
2805,2, Graduate, No,3800000,11400000,6,706,1000000,4000000,12100000,2800000, Approved
3531,0, Not Graduate, No,2000000,4700000,2,820,4700000,500000,7900000,1200000, Approved
840,2, Not Graduate, Yes,2000000,6700000,14,638,4900000,200000,4900000,2300000, Approved
1910,4, Not Graduate, No,2400000,7300000,4,540,2500000,300000,7800000,2200000, Approved
201,4, Not Graduate, Yes,9800000,21200000,20,355,22000000,8900000,31800000,14400000, Rejected
3128,5, Graduate, Yes,8200000,28900000,4,485,16500000,3000000,19400000,6800000, Approved
1477,2, Graduate, Yes,5400000,10900000,14,741,1300000,6000000,20400000,5600000, Approved
319,4, Graduate, No,3700000,13200000,4,802,9800000,2400000,12500000,4300000, Approved
2272,1, Graduate, No,600000,1200000,10,561,900000,300000,1400000,600000, Approved
305,5, Not Graduate, Yes,9200000,23600000,12,656,1400000,11200000,36400000,4900000, Approved
1661,0, Graduate, No,3500000,8800000,12,803,5400000,300000,8400000,3400000, Approved
3899,2, Not Graduate, Yes,8000000,28100000,18,765,24000000,10500000,17700000,8200000, Approved
3169,5, Not Graduate, No,2400000,7500000,12,357,2600000,2900000,6100000,1300000, Rejected
2502,4, Graduate, Yes,7200000,26000000,6,571,4700000,0,22600000,4200000, Approved
4256,4, Graduate, No,4800000,12000000,6,441,8400000,1300000,18200000,3200000, Rejected
1362,1, Graduate, No,7000000,20500000,10,414,19700000,7500000,20700000,5100000, Rejected
3269,2, Not Graduate, Yes,7900000,22500000,6,571,8100000,5300000,17900000,8100000, Approved
1851,1, Graduate, Yes,7800000,25100000,18,766,6900000,7200000,16600000,10200000, Approved
729,1, Not Graduate, No,3400000,8600000,16,312,6400000,6100000,8400000,3000000, Rejected
3387,1, Not Graduate, No,6900000,20900000,4,574,3200000,1800000,25000000,5200000, Approved
1572,1, Graduate, No,2700000,6800000,20,713,500000,3300000,6100000,1900000, Approved
3927,3, Graduate, No,4900000,12800000,14,653,7300000,1000000,13000000,7200000, Approved
3559,4, Graduate, Yes,1400000,4800000,6,411,1400000,300000,4400000,1600000, Rejected
1662,2, Not Graduate, Yes,3100000,10700000,16,357,9200000,1900000,7700000,3800000, Rejected
2253,0, Not Graduate, Yes,1800000,3700000,2,505,3900000,2400000,4500000,1400000, Rejected
3170,1, Not Graduate, Yes,8700000,27500000,16,815,8000000,13400000,23600000,5900000, Approved
2549,2, Graduate, Yes,1800000,5500000,6,448,2900000,300000,5600000,1300000, Rejected
622,2, Graduate, No,4900000,17600000,6,860,13600000,7500000,12700000,5600000, Approved
2329,5, Graduate, No,3200000,10600000,2,432,6500000,3700000,11200000,3700000, Approved
760,2, Graduate, No,9700000,19900000,16,395,2800000,13700000,37000000,10800000, Rejected
4176,3, Not Graduate, Yes,6900000,17900000,18,494,7700000,11200000,15400000,8700000, Rejected
3843,1, Not Graduate, No,5200000,10500000,20,317,3000000,8000000,19300000,5300000, Rejected
2230,1, Not Graduate, Yes,2400000,8800000,18,414,3600000,2200000,7100000,2500000, Rejected
2100,3, Graduate, Yes,6100000,18100000,14,538,11800000,4200000,16200000,7500000, Rejected
2153,3, Graduate, No,3500000,8500000,18,609,7300000,0,12700000,2500000, Approved
3923,4, Graduate, Yes,1300000,3900000,16,566,700000,200000,3400000,1600000, Approved
1416,0, Graduate, Yes,2300000,6000000,8,690,5500000,2900000,6000000,2000000, Approved
197,4, Not Graduate, Yes,400000,1500000,2,669,-100000,600000,900000,500000, Approved
4012,3, Not Graduate, No,6900000,17100000,4,694,4200000,6100000,27000000,6000000, Approved
137,2, Not Graduate, No,4600000,16700000,2,786,200000,5900000,13900000,6100000, Approved
3895,4, Not Graduate, No,6900000,18000000,8,347,16400000,9300000,18300000,8700000, Rejected
82,0, Not Graduate, No,8800000,31200000,4,826,2900000,500000,33300000,8600000, Approved
1847,0, Not Graduate, No,8500000,17200000,12,624,6500000,8400000,18600000,5100000, Approved
1613,5, Graduate, Yes,5800000,13000000,8,851,6700000,8700000,17700000,4100000, Approved
590,1, Graduate, No,9300000,28600000,14,656,17300000,9100000,27400000,12500000, Approved
1139,4, Graduate, No,2800000,6100000,18,415,2200000,4200000,8400000,2000000, Rejected
2307,1, Not Graduate, No,8600000,25900000,2,606,3700000,14900000,32700000,12200000, Approved
2273,5, Graduate, No,8000000,23100000,20,461,5900000,2400000,29300000,7200000, Rejected
4129,5, Not Graduate, Yes,6800000,22800000,14,382,17600000,700000,21700000,5800000, Rejected
4075,4, Not Graduate, Yes,9400000,25700000,14,845,27300000,4100000,26500000,12200000, Approved
109,1, Graduate, Yes,9700000,35900000,2,719,19600000,7600000,20400000,10900000, Approved
3764,3, Graduate, No,9600000,34500000,20,523,26100000,2600000,24300000,5300000, Rejected
124,0, Not Graduate, Yes,9000000,18700000,18,865,26800000,0,20900000,11300000, Approved
3177,4, Not Graduate, Yes,3100000,8200000,18,408,2900000,3800000,10800000,3100000, Rejected
4151,3, Graduate, No,2300000,5600000,18,420,1300000,600000,6700000,2100000, Rejected
3587,2, Graduate, Yes,2200000,8100000,8,710,500000,2900000,7300000,1000000, Approved
1722,3, Not Graduate, Yes,3100000,11400000,16,562,3600000,3600000,7200000,3100000, Approved
2780,4, Graduate, Yes,3900000,9200000,12,737,2800000,2300000,12300000,5200000, Approved
1296,3, Graduate, No,1600000,3500000,10,844,4500000,2200000,5200000,1600000, Approved
1808,4, Not Graduate, Yes,400000,1100000,6,644,1000000,300000,1600000,400000, Approved
1759,4, Graduate, No,7900000,30600000,2,569,7600000,3400000,20100000,7400000, Approved
2328,4, Graduate, Yes,6100000,21700000,6,860,13900000,900000,14100000,5600000, Approved
3184,2, Not Graduate, Yes,2900000,8300000,10,693,7500000,1900000,9700000,4300000, Approved
2530,1, Not Graduate, Yes,400000,1400000,12,468,700000,0,1500000,400000, Rejected
1899,3, Graduate, Yes,800000,1500000,2,589,1500000,1100000,1800000,400000, Approved
2459,2, Graduate, No,2500000,7000000,20,547,800000,1200000,5200000,2300000, Rejected
3475,3, Not Graduate, Yes,5400000,16800000,16,550,10700000,6400000,13400000,7000000, Approved
3322,3, Not Graduate, No,2600000,8100000,12,425,7300000,1900000,6800000,2200000, Rejected
2741,2, Graduate, Yes,9400000,37300000,14,383,7800000,15900000,27100000,7700000, Rejected
117,4, Not Graduate, Yes,5800000,23200000,18,456,16100000,4200000,22600000,7500000, Rejected
2156,1, Graduate, Yes,4600000,13500000,20,837,5600000,7700000,11900000,2500000, Approved
2927,3, Graduate, Yes,4000000,14700000,8,376,3000000,6200000,8900000,4200000, Rejected
2584,4, Graduate, Yes,5900000,17300000,20,657,1500000,5600000,13000000,4100000, Approved
2545,0, Not Graduate, No,3900000,14600000,2,730,9200000,4000000,14600000,5400000, Approved
3697,0, Not Graduate, Yes,1600000,5300000,4,733,400000,2100000,5500000,1100000, Approved
611,3, Graduate, No,8100000,23900000,10,449,7100000,6100000,28300000,8900000, Rejected
2548,2, Not Graduate, No,1400000,2900000,12,490,600000,1600000,5500000,1300000, Rejected
3041,1, Graduate, No,2400000,5800000,20,384,1700000,2500000,8400000,3100000, Rejected
2896,1, Graduate, No,2500000,5900000,12,668,7400000,600000,6300000,3700000, Approved
2750,0, Graduate, Yes,4100000,11100000,16,785,6800000,5300000,8500000,4800000, Approved
222,3, Graduate, Yes,7900000,21200000,18,695,13800000,10600000,21800000,4900000, Approved
3668,4, Not Graduate, Yes,6300000,16900000,16,582,16000000,3600000,23700000,6000000, Approved
2134,0, Graduate, No,7100000,20700000,10,784,9500000,11400000,27900000,8600000, Approved
1654,3, Not Graduate, Yes,6400000,23500000,12,684,17200000,10300000,25300000,7400000, Approved
2790,3, Graduate, No,6600000,22200000,12,759,8900000,2200000,18700000,8500000, Approved
2469,1, Graduate, No,2000000,5000000,6,876,500000,2900000,5800000,1500000, Approved
1292,3, Not Graduate, Yes,6500000,18200000,20,405,10400000,2800000,21300000,6700000, Rejected
1568,2, Not Graduate, Yes,5600000,20000000,10,367,13700000,5000000,19100000,6000000, Rejected
4022,1, Not Graduate, Yes,7900000,19100000,2,593,20800000,12200000,26100000,7800000, Approved
2312,5, Graduate, Yes,300000,700000,10,586,0,400000,1000000,100000, Approved
1982,4, Not Graduate, No,3900000,10600000,20,544,4100000,3100000,10900000,4900000, Rejected
2683,3, Not Graduate, Yes,900000,2000000,18,772,2300000,700000,3500000,800000, Approved
1103,1, Graduate, Yes,1600000,4900000,16,487,4300000,1100000,3900000,2000000, Rejected
1254,0, Graduate, Yes,3500000,11700000,14,649,2700000,700000,11400000,4800000, Approved
1310,4, Graduate, Yes,8500000,18600000,10,597,16600000,3200000,21000000,11600000, Approved
